Time_days,C_plasma_ug/L
0.010,0.052
0.021,0.137
0.031,0.319
0.042,0.466
0.052,0.500
0.063,0.535
0.073,0.551
0.083,0.576
0.094,0.562
0.104,0.510
0.115,0.536
0.125,0.511
0.146,0.465
0.167,0.482
0.188,0.434
0.208,0.418
0.229,0.390
0.250,0.389
0.271,0.399
0.292,0.370
0.313,0.412
0.333,0.404
0.375,0.374
0.417,0.372
0.458,0.339
0.5,0.352
0.625,0.304
0.75,0.267
0.875,0.275
1,0.286
1.125,0.263
1.25,0.223
1.375,0.208
1.5,0.211
1.75,0.176
2,0.152
2.25,0.134
2.5,0.124
2.75,0.098
3,0.106
3.25,0.095
3.5,0.075
3.75,0.061
4,0.062
4.25,0.055
4.5,0.046
5,0.036
5.5,0.029
6,0.021
6.5,0.015
7,0.014
7.5,0.013
8,0.009
8.5,0.006
9,0.005
10,0.004
11,0.002
12,0.002
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,